"","x"
"649","PRLR_HUMAN"
"650","ST32C_HUMAN"
"651","ERAP1_HUMAN"
"652","FOXO3_HUMAN"
"653","OPA1_HUMAN"
"654","HCLS1_HUMAN"
"655","PRIC2_HUMAN"
"656","PRIC3_HUMAN"
"657","TUTLB_HUMAN"
"658","A2ML1_HUMAN"
"659","PKD1_HUMAN"
"660","ZN185_HUMAN"
"661","WDR81_HUMAN"
"662","CAN1_HUMAN"
"663","PXK_HUMAN"
"664","PASK_HUMAN"
"665","TYK2_HUMAN"
"666","MRCKG_HUMAN"
"667","KKCC1_HUMAN"
"668","TXNIP_HUMAN"
"669","UBQL4_HUMAN"
"670","EF2K_HUMAN"
"671","ARRS_HUMAN"
"672","WNK2_HUMAN"
"673","MINK1_HUMAN"
"674","TRIO_HUMAN"
"675","ARAP3_HUMAN"
"676","DGKH_HUMAN"
"677","HIG1A_HUMAN"
"678","DDB1_HUMAN"
"679","SON_HUMAN"
"680","NOX4_HUMAN"
"681","GRP75_HUMAN"
"682","RTN4R_HUMAN"
"683","TSP1_HUMAN"
"684","PABP2_HUMAN"
"685","FBXL6_HUMAN"
"686","ADDB_HUMAN"
"687","CCNB1_HUMAN"
"688","MPIP1_HUMAN"
"689","DXO_HUMAN"
"690","MSRB1_HUMAN"
"691","IDE_HUMAN"
"692","LYST_HUMAN"
"693","GLI2_HUMAN"
"694","DPP3_HUMAN"
"695","MMP14_HUMAN"
"696","PRGR_HUMAN"
"697","ZBTB4_HUMAN"
"698","MCM7_HUMAN"
"699","DPYL2_HUMAN"
"700","PRC2A_HUMAN"
"701","RHG21_HUMAN"
"702","UN45A_HUMAN"
"703","HNRDL_HUMAN"
"704","IQGA2_HUMAN"
"705","IRS4_HUMAN"
"706","PRC2C_HUMAN"
"707","RAI14_HUMAN"
"708","IPO8_HUMAN"
"709","FAS_HUMAN"
"710","CKAP2_HUMAN"
"711","CP131_HUMAN"
"712","K2C6A_HUMAN"
"713","LIMD2_HUMAN"
"714","NGLY1_HUMAN"
"715","MYO9B_HUMAN"
"716","RBP2_HUMAN"
"717","KPCD3_HUMAN"
"718","LPP_HUMAN"
"719","PMYT1_HUMAN"
"720","NEK2_HUMAN"
"721","TGFI1_HUMAN"
"722","STBD1_HUMAN"
"723","SMG1_HUMAN"
"724","MYLK_HUMAN"
